Offense,Defense,Week,Start xPts,End xPts
ARI,DET,1,1.81,1.30
ARI,DET,1,2.28,0.00
ARI,DET,1,4.83,2.90
ARI,DET,1,1.76,1.23
ARI,DET,1,1.67,0.00
ARI,DET,1,2.14,2.78
ARI,DET,1,1.01,7.00
ARI,DET,1,1.71,1.71
ARI,DET,1,1.90,0.00
ARI,DET,1,1.90,0.00
ARI,DET,1,1.90,1.90
ARI,DET,1,1.90,7.00
ATL,CHI,1,1.10,2.14
ATL,CHI,1,2.14,0.00
ATL,CHI,1,1.90,0.00
ATL,CHI,1,1.52,7.00
ATL,CHI,1,1.90,0.00
ATL,CHI,1,1.67,0.00
ATL,CHI,1,1.38,2.85
ATL,CHI,1,0.96,7.00
ATL,CHI,1,1.90,2.65
ATL,CHI,1,1.38,0.00
BAL,CIN,1,2.42,2.89
BAL,CIN,1,2.94,0.00
BAL,CIN,1,1.95,0.00
BAL,CIN,1,1.85,7.00
BAL,CIN,1,5.81,7.00
BAL,CIN,1,2.47,0.00
BAL,CIN,1,1.90,0.94
BAL,CIN,1,1.29,2.89
BAL,CIN,1,1.43,0.00
BAL,CIN,1,1.10,0.00
BAL,CIN,1,1.38,0.00
BAL,CIN,1,2.80,0.00
BUF,NYJ,1,1.90,3.89
BUF,NYJ,1,1.67,0.00
BUF,NYJ,1,1.81,7.00
BUF,NYJ,1,1.90,2.26
BUF,NYJ,1,1.90,0.00
BUF,NYJ,1,2.23,0.00
BUF,NYJ,1,2.42,7.00
BUF,NYJ,1,1.67,7.00
BUF,NYJ,1,0.91,0.00
BUF,NYJ,1,1.81,0.00
BUF,NYJ,1,1.52,0.00
BUF,NYJ,1,3.22,0.00
CAR,SF,1,1.90,0.00
CAR,SF,1,1.38,0.00
CAR,SF,1,3.46,7.00
CAR,SF,1,1.76,0.00
CAR,SF,1,1.90,3.32
CAR,SF,1,3.18,2.58
CAR,SF,1,2.85,2.68
CAR,SF,1,4.12,7.00
CAR,SF,1,2.23,2.93
CAR,SF,1,1.90,2.56
CAR,SF,1,0.77,0.00
CHI,ATL,1,1.95,0.00
CHI,ATL,1,1.81,1.72
CHI,ATL,1,2.47,0.00
CHI,ATL,1,1.90,7.00
CHI,ATL,1,1.90,0.00
CHI,ATL,1,2.85,0.00
CHI,ATL,1,2.09,0.00
CHI,ATL,1,1.90,7.00
CHI,ATL,1,1.57,0.00
CIN,BAL,1,1.90,0.00
CIN,BAL,1,1.90,3.60
CIN,BAL,1,1.15,3.90
CIN,BAL,1,2.61,0.00
CIN,BAL,1,1.34,1.11
CIN,BAL,1,1.90,0.00
CIN,BAL,1,4.21,4.33
CIN,BAL,1,1.90,0.00
CIN,BAL,1,2.14,0.00
CIN,BAL,1,2.99,0.00
CIN,BAL,1,2.70,2.42
CIN,BAL,1,1.34,0.00
CLE,PIT,1,1.90,0.00
CLE,PIT,1,1.90,0.00
CLE,PIT,1,2.23,7.00
CLE,PIT,1,1.76,0.00
CLE,PIT,1,2.61,0.00
CLE,PIT,1,2.42,0.00
CLE,PIT,1,1.24,0.00
CLE,PIT,1,2.66,2.90
CLE,PIT,1,1.90,4.07
