Name,Team,Pos,Points,Price,Play Prob
Victor Moses,CHE,DEF,5.34,6.5,0.92
Ben Mee,BUR,DEF,4.87,4.5,1
Lewis Dunk,BRI,DEF,4.84,4.5,1
Ben Davies,TOT,DEF,4.84,5.7,0.62
Shane Duffy,BRI,DEF,4.82,4.5,1
Mike van der Hoorn,SWA,DEF,4.37,4.5,0.56
Cuco Martina,EVE,DEF,4.04,4.3,0.64
Jesus Gamez,NEW,DEF,3.13,4,0.26
James Collins,WHU,DEF,2.04,4.4,0.81
Kevin Wimmer,STO,DEF,1.8,4.4,0.64
Sergio Aguero,MCI,FWD,7.28,11.5,0.83
Wayne Rooney,EVE,FWD,5.61,7.5,1
Alvaro Morata,CHE,FWD,5.27,10.2,0.92
Kelechi Iheanacho,LEI,FWD,5.25,6.8,0.38
Romelu Lukaku,MUN,FWD,5.15,11.7,1
Danny Welbeck,ARS,FWD,5.04,7.5,1
Dominic Calvert-Lewin,EVE,FWD,4.82,5,0.19
Joselu,NEW,FWD,4.72,5.5,0.81
Harry Kane,TOT,FWD,4.7,12.5,1
Tammy Abraham,SWA,FWD,4.57,5.5,1
Javier Hernandez,WHU,FWD,4.54,7,1
Alexandre Lacazette,ARS,FWD,4.18,10.3,0.83
Gabriel Jesus,MCI,FWD,4.06,10.5,0.89
Jermain Defoe,BOR,FWD,4.05,7.8,0.81
Steve Mounie,HUD,FWD,4.03,6.1,0.62
Jamie Vardy,LEI,FWD,4.02,8.5,1
Joshua King,BOR,FWD,4.01,7.3,1
Andy Carroll,WHU,FWD,3.72,5.9,0.64
Marcus Rashford,MUN,FWD,3.6,7.5,0.83
Jay Rodriguez,WBA,FWD,3.6,5.9,1
Mame Diouf,STO,FWD,3.57,5.4,0.83
Roberto Firmino,LIV,FWD,3.49,8.7,1
Jordan Ayew,SWA,FWD,3.35,5,1
Sam Vokes,BUR,FWD,3.3,6.1,0.62
Shane Long,SOT,FWD,3.19,5.8,0.38
Christian Benteke,CPL,FWD,3.1,7.7,1
Ayoze Perez,NEW,FWD,3.09,5.5,1
Tomer Hemed,BRI,FWD,3.03,4.9,0.89
Andre Gray,WAT,FWD,2.73,6.4,0.92
Ederson,MCI,GK,5.74,5.5,1
