Name,Team,Pos,Points,Price,Play Prob
Cesar Azpilicueta,CHE,DEF,3.82,6.5,1
Leighton Baines,EVE,DEF,3.76,6,1
Solly March,BRI,MID,3.76,5,1
James Tarkowski,BUR,DEF,3.76,4.5,1
Jamaal Lascelles,NEW,DEF,3.74,4.6,1
Jese,STO,MID,3.74,6,1
Andy Carroll,WHU,FWD,3.72,5.9,0.64
Marcos Alonso,CHE,DEF,3.71,7.1,1
Matthew Phillips,WBA,MID,3.7,6,1
Juan Mata,MUN,MID,3.7,7,0.74
Jason Puncheon,CPL,MID,3.67,4.9,1
Michail Antonio,WHU,MID,3.61,7.5,0.92
Matt Ritchie,NEW,MID,3.61,5.9,1
Abdoulaye Doucoure,WAT,MID,3.6,5.2,1
Marcus Rashford,MUN,FWD,3.6,7.5,0.83
Jay Rodriguez,WBA,FWD,3.6,5.9,1
Mame Diouf,STO,FWD,3.57,5.4,0.83
David Luiz,CHE,DEF,3.56,6,1
Nathaniel Chalobah,WAT,MID,3.56,4.5,1
Henrikh Mkhitaryan,MUN,MID,3.56,8.5,1
Marc Pugh,BOR,MID,3.5,4.9,0.38
Roberto Firmino,LIV,FWD,3.49,8.7,1
Nacho Monreal,ARS,DEF,3.48,5.4,1
Jose Holebas,WAT,DEF,3.44,5,0.83
Matthew Lowton,BUR,DEF,3.43,4.5,1
Danny Williams,HUD,MID,3.4,4.9,0.38
Jordan Henderson,LIV,MID,3.4,5.5,0.62
Kieran Trippier,TOT,DEF,3.4,5.4,0.92
Anthony Knockaert,BRI,MID,3.39,5.9,0.81
Michael Keane,EVE,DEF,3.35,5.5,1
Jordan Ayew,SWA,FWD,3.35,5,1
N'Golo Kante,CHE,MID,3.34,5,1
Rajiv van La Parra,HUD,MID,3.33,4.9,0.54
Eric Bailly,MUN,DEF,3.33,6.2,1
Jose Fonte,WHU,DEF,3.32,4.9,0.75
Aaron Mooy,HUD,MID,3.3,5.7,1
Granit Xhaka,ARS,MID,3.3,5.6,1
Sam Vokes,BUR,FWD,3.3,6.1,0.62
Jan Vertonghen,TOT,DEF,3.29,6,1
Dusan Tadic,SOT,MID,3.27,6.5,0.74
Antonio Valencia,MUN,DEF,3.27,6.5,1
Fernandinho,MCI,MID,3.23,5,1
Yohan Cabaye,CPL,MID,3.22,5.5,0.64
Elias Kachunga,HUD,MID,3.21,6,1
Andrew Surman,BOR,MID,3.2,4.5,0.74
Shane Long,SOT,FWD,3.19,5.8,0.38
Toby Alderweireld,TOT,DEF,3.18,6,1
Maya Yoshida,SOT,DEF,3.17,5,0.74
Dale Stephens,BRI,MID,3.17,4.5,1
Alberto Moreno,LIV,DEF,3.14,4.5,0.5
Jesus Gamez,NEW,DEF,3.13,4,0.26
Matteo Darmian,MUN,DEF,3.12,5.2,0.26
Christian Benteke,CPL,FWD,3.1,7.7,1
Ayoze Perez,NEW,FWD,3.09,5.5,1
Gareth Barry,WBA,MID,3.09,4.5,0.92
Ryan Bertrand,SOT,DEF,3.09,5.5,1
Gary Cahill,CHE,DEF,3.07,6.3,0.38
Kieran Gibbs,WBA,DEF,3.07,5,0.38
Jake Livermore,WBA,MID,3.06,5,0.62
Tom Cleverley,WAT,MID,3.05,5,1
Javi Manquillo,NEW,DEF,3.05,4.5,0.62
Joseph Gomez,LIV,DEF,3.04,4.5,0.28
Johann Gudmundsson,BUR,MID,3.04,5,1
Andros Townsend,CPL,MID,3.03,5.8,0.92
Tomer Hemed,BRI,FWD,3.03,4.9,0.89
James McArthur,CPL,MID,3.01,4.5,0.81
Tommy Smith,HUD,DEF,3,5,1
Dejan Lovren,LIV,DEF,2.99,5.4,0.25
Ciaran Clark,NEW,DEF,2.98,4.5,1
Phil Jones,MUN,DEF,2.97,5.1,1
Marc Albrighton,LEI,MID,2.96,5.5,0.74
Cheikhou Kouyate,WHU,MID,2.96,5,0.64
Steven Defour,BUR,MID,2.95,5.5,1
Isaac Hayden,NEW,MID,2.94,4.5,1
Eric Dier,TOT,MID,2.93,5,1
Chris Brunt,WBA,MID,2.93,5.5,0.74
Georginio Wijnaldum,LIV,MID,2.92,6.9,0.62
Kyle Naughton,SWA,DEF,2.91,4.5,1
Mario Lemina,SOT,MID,2.89,5,0.67
Phil Jagielka,EVE,DEF,2.89,5,0.74
Oriol Romeu,SOT,MID,2.86,4.5,1
Zanka,HUD,DEF,2.86,4.6,1
Aaron Cresswell,WHU,DEF,2.86,5,0.92
Bruno Martins Indi,STO,DEF,2.79,5,0.63
Davy Propper,BRI,MID,2.78,5.5,1
Idrissa Gueye,EVE,MID,2.78,5,1
Markus Suttner,BRI,DEF,2.75,4.5,1
Andre Gray,WAT,FWD,2.73,6.4,0.92
Cedric Soares,SOT,DEF,2.72,5,1
Martin Olsson,SWA,DEF,2.71,5,1
Federico Fernandez,SWA,DEF,2.71,4.5,1
Nemanja Matic,MUN,MID,2.66,5,1
Joel Matip,LIV,DEF,2.66,5.5,1
Jack  Cork,BUR,MID,2.65,4.5,1
Christopher Schindler,HUD,DEF,2.65,4.6,1
Darren Fletcher,STO,MID,2.64,5,1
Samuel Clucas,SWA,MID,2.63,5,1
Mikel Merino,NEW,MID,2.61,5,0.92
Kiko,WAT,DEF,2.52,4.5,0.62
Harry Arter,BOR,MID,2.5,4.9,1
Wilfred Ndidi,LEI,MID,2.49,5,1
Chris Lowe,HUD,DEF,2.46,4.5,1
Eden Hazard,CHE,MID,2.45,10.5,0
Wesley Hoedt,SOT,DEF,2.45,5,0.86
Pedro Obiang,WHU,MID,2.43,4.5,0.72
Steve Cook,BOR,DEF,2.42,4.9,0.62
Morgan Schneiderlin,EVE,MID,2.42,5,0.83
Harry Maguire,LEI,DEF,2.37,5.1,1
Christian Kabasele,WAT,DEF,2.37,4.5,0.81
Joe Allen,STO,MID,2.36,5.4,1
Scott Dann,CPL,DEF,2.35,4.9,1
Ahmed Hegazi,WBA,DEF,2.34,4.9,1
Grzegorz Krychowiak,WBA,MID,2.33,5,1
Wes Morgan,LEI,DEF,2.29,4.5,1
Kurt Zouma,STO,DEF,2.18,5.5,1
Christian Fuchs,LEI,DEF,2.17,5,0.62
Nathan Ake,BOR,DEF,2.16,5,1
Erik Pieters,STO,DEF,2.13,5,1
Charlie Daniels,BOR,DEF,2.05,4.9,1
James Collins,WHU,DEF,2.04,4.4,0.81
Adam Smith,BOR,DEF,1.98,4.9,0.92
Danny Simpson,LEI,DEF,1.87,4.5,1
Pablo Zabaleta,WHU,DEF,1.81,4.9,1
Craig Dawson,WBA,DEF,1.8,5,1
Kevin Wimmer,STO,DEF,1.8,4.4,0.64
Winston Reid,WHU,DEF,1.62,4.9,0.72
Jeffrey Schlupp,CPL,DEF,1.46,4.8,0.64
Jonny Evans,WBA,DEF,1.17,4.9,0.64
Joel Ward,CPL,DEF,1.06,4.9,1
Timothy Fosu-Mensah,CPL,DEF,0.76,4.5,1
Petr Cech,ARS,GK,4.34,5.5,1
Asmir Begovic,BOR,GK,2.91,4.5,1
Nick Pope,BUR,GK,3.64,4.5,1
Thibaut Courtois,CHE,GK,3.18,5.5,1
Wayne Hennessey,CPL,GK,2.38,4.5,1
Jordan Pickford,EVE,GK,3.58,4.5,1
Jonas Lossl,HUD,GK,2.97,4.5,1
Kasper Schmeichel,LEI,GK,2.94,5,1
Simon Mignolet,LIV,GK,3.04,5,1
Ederson,MCI,GK,5.74,5.5,1
David de Gea,MUN,GK,3.08,5.5,1
Robert Elliot,NEW,GK,2.86,4,1
Fraser Forster,SOT,GK,2.74,5,1
Jack Butland,STO,GK,2.92,5,1
Lukasz Fabianski,SWA,GK,3.02,4.5,1
Hugo Lloris,TOT,GK,2.90,5.5,1
Heurelho Gomes,WAT,GK,2.99,4.5,1
Ben Foster,WBA,GK,2.42,4.5,1
Joe Hart,WHU,GK,3.32,4.5,1
