Name,Team,Pos,Points,Price,Play Prob
Sergio Aguero,MCI,FWD,7.28,11.5,0.83
Maxim Choupo-Moting,STO,MID,6.17,5.6,0.92
Richarlison,WAT,MID,6.11,6,0.92
David Silva,MCI,MID,5.65,8.3,1
Wayne Rooney,EVE,FWD,5.61,7.5,1
Gylfi Sigurdsson,EVE,MID,5.48,8.3,0.81
Aaron Ramsey,ARS,MID,5.46,7,0.75
Kevin De Bruyne,MCI,MID,5.39,9.9,1
Victor Moses,CHE,DEF,5.34,6.5,0.92
Alvaro Morata,CHE,FWD,5.27,10.2,0.92
Kelechi Iheanacho,LEI,FWD,5.25,6.8,0.38
Chris Wood,BUR,MID,5.16,6.5,0.86
Romelu Lukaku,MUN,FWD,5.15,11.7,1
Danny Welbeck,ARS,FWD,5.04,7.5,1
Mesut Ozil,ARS,MID,4.97,9.4,0.62
Christian Eriksen,TOT,MID,4.96,9.7,1
Robbie Brady,BUR,MID,4.94,5.5,1
Ben Mee,BUR,DEF,4.87,4.5,1
Mohamed Salah,LIV,MID,4.85,9.2,0.63
Lewis Dunk,BRI,DEF,4.84,4.5,1
Ben Davies,TOT,DEF,4.84,5.7,0.62
Shane Duffy,BRI,DEF,4.82,4.5,1
Dominic Calvert-Lewin,EVE,FWD,4.82,5,0.19
Pedro,CHE,MID,4.72,7.9,0.43
Joselu,NEW,FWD,4.72,5.5,0.81
Harry Kane,TOT,FWD,4.7,12.5,1
Marouane Fellaini,MUN,MID,4.67,4.9,0.38
John Stones,MCI,DEF,4.65,5.5,0.83
Philippe Coutinho,LIV,MID,4.64,8.8,0.38
Tammy Abraham,SWA,FWD,4.57,5.5,1
Benjamin Mendy,MCI,DEF,4.56,6.5,0.81
Raheem Sterling,MCI,MID,4.56,7.8,0.56
Andre Carrillo,WAT,MID,4.55,5.5,0.86
Javier Hernandez,WHU,FWD,4.54,7,1
Sead Kolasinac,ARS,DEF,4.39,6,0.83
Nicolas Otamendi,MCI,DEF,4.38,5.6,1
Mike van der Hoorn,SWA,DEF,4.37,4.5,0.56
Thomas Carroll,SWA,MID,4.37,4.5,1
Son Heung-Min,TOT,MID,4.35,8,0.56
Moussa Sissoko,TOT,MID,4.33,5.4,0.72
Tom Ince,HUD,MID,4.27,5.9,1
Nathan Redmond,SOT,MID,4.26,6.4,1
Ryan Fraser,BOR,MID,4.25,5.4,0.57
Alexandre Lacazette,ARS,FWD,4.18,10.3,0.83
Pascal Gross,BRI,MID,4.17,5.6,1
Steven Davis,SOT,MID,4.16,5,1
Riyad Mahrez,LEI,MID,4.16,8.5,1
Emre Can,LIV,MID,4.08,5,0.89
Hector Bellerin,ARS,DEF,4.07,5.9,1
Gabriel Jesus,MCI,FWD,4.06,10.5,0.89
Dele Alli,TOT,MID,4.06,9.5,1
Leroy Fer,SWA,MID,4.05,5.5,0.62
Stephen Ward,BUR,DEF,4.05,4.5,1
Jermain Defoe,BOR,FWD,4.05,7.8,0.81
Alfie Mawson,SWA,DEF,4.04,5,1
Cuco Martina,EVE,DEF,4.04,4.3,0.64
Steve Mounie,HUD,FWD,4.03,6.1,0.62
Jamie Vardy,LEI,FWD,4.02,8.5,1
Joshua King,BOR,FWD,4.01,7.3,1
Laurent Koscielny,ARS,DEF,3.96,6,0.81
Kyle Walker,MCI,DEF,3.94,6.5,0.72
Xherdan Shaqiri,STO,MID,3.94,5.9,0.89
Shkodran Mustafi,ARS,DEF,3.92,5.4,0.75
Ruben Loftus-Cheek,CPL,MID,3.91,4.5,0.57
Tiemoue Bakayoko,CHE,MID,3.89,5,0.37
Ashley Williams,EVE,DEF,3.85,5.4,0.92
Christian Atsu,NEW,MID,3.85,5,0.74
