Name,Team,Pos,Points,Price,Play Prob
Jamaal Lascelles,NEW,DEF,3.15,4.5,1
Kyle Walker,MCI,DEF,3.1,6.5,0.56
Nathaniel Chalobah,WAT,MID,3.06,4.5,1
Javier Manquillo,NEW,DEF,3.06,4.5,1
Andrew Surman,BOR,MID,3.02,4.5,0.54
Adam Smith,BOR,DEF,3.01,4.9,0.9
Philip Billing,HUD,MID,2.99,4.5,1
Andre Gray,WAT,FWD,2.98,6.4,0.9
Fernandinho,MCI,MID,2.96,5,1
Tom Cleverley,WAT,MID,2.95,5,1
Darren Fletcher,STO,MID,2.95,5,1
Granit Xhaka,ARS,MID,2.93,5.6,1
Grzegorz Krychowiak,WBA,MID,2.92,5,1
Charlie Daniels,BOR,DEF,2.89,4.9,1
Christopher Schindler,HUD,DEF,2.89,4.6,1
Oriol Romeu,SOT,MID,2.88,4.5,1
Matty James,LEI,MID,2.88,4.5,1
Christian Fuchs,LEI,DEF,2.86,5,1
Wes Morgan,LEI,DEF,2.85,4.5,1
Dale Stephens,BRI,MID,2.83,4.5,1
Mario Lemina,SOT,MID,2.81,5,0.44
Luka Milivojevic,CPL,MID,2.8,4.8,0.44
Nemanja Matic,MUN,MID,2.79,5,1
Harry Arter,BOR,MID,2.77,4.9,1
Johann Gudmundsson,BUR,MID,2.75,5,1
Lee Chung-Yong,CPL,MID,2.73,4.4,0.46
James Collins,WHU,DEF,2.72,4.4,0.74
Mikel Merino,NEW,MID,2.67,5,0.9
Simon Francis,BOR,DEF,2.66,4.4,0.1
Wesley Hoedt,SOT,DEF,2.66,5,0.75
Tommy Smith,HUD,DEF,2.66,5,1
Kieran Gibbs,WBA,DEF,2.63,5,0
Steven Defour,BUR,MID,2.61,5.5,1
Kurt Zouma,STO,DEF,2.59,5.5,1
Davy Propper,BRI,MID,2.59,5.5,1
Ander Herrera,MUN,MID,2.58,5.3,0.46
Jonny Evans,WBA,DEF,2.56,4.9,0.46
Philippe Coutinho,LIV,MID,2.54,8.8,0
Pedro Obiang,WHU,MID,2.54,4.5,0.56
Joe Allen,STO,MID,2.49,5.4,1
Idrissa Gueye,EVE,MID,2.47,5,1
Erik Pieters,STO,DEF,2.46,5,1
Danny Simpson,LEI,DEF,2.46,4.5,1
Wilfred Ndidi,LEI,MID,2.4,5,1
Dan Gosling,BOR,MID,2.38,4.9,0.74
Sead Kolasinac,ARS,DEF,2.38,6,0.72
Joel Ward,CPL,DEF,2.37,4.9,1
Gary Cahill,CHE,DEF,2.36,6.3,0
Eden Hazard,CHE,MID,2.34,10.5,0
Pablo Zabaleta,WHU,DEF,2.33,4.9,1
Timothy Fosu-Mensah,CPL,DEF,2.3,4.5,1
Jack  Cork,BUR,MID,2.28,4.5,1
Markus Suttner,BRI,DEF,2.26,4.5,1
Samuel Clucas,SWA,MID,2.24,5,1
Ben Mee,BUR,DEF,2.22,4.5,1
Ashley Williams,EVE,DEF,2.16,5.4,0.9
Shkodran Mustafi,ARS,DEF,2.14,5.4,0.63
Morgan Schneiderlin,EVE,MID,2.13,5,0.72
Winston Reid,WHU,DEF,2.11,4.9,0.56
Alfie Mawson,SWA,DEF,2.1,5,1
Laurent Koscielny,ARS,DEF,2.09,6,0.74
Kevin Wimmer,STO,DEF,2.08,4.4,0.46
Jose Holebas,WAT,DEF,2.05,5,0.72
Leighton Baines,EVE,DEF,2.05,6,1
Chris Lowe,HUD,DEF,2.01,4.5,1
Stephen Ward,BUR,DEF,2,4.5,1
Hector Bellerin,ARS,DEF,1.78,5.9,1
James Tarkowski,BUR,DEF,1.74,4.5,1
Michael Keane,EVE,DEF,1.61,5.5,1
Mike van der Hoorn,SWA,DEF,1.51,4.5,0.28
Mason Holgate,EVE,DEF,1.49,4.4,0.44
Nacho Monreal,ARS,DEF,1.43,5.4,1
Matthew Lowton,BUR,DEF,1.42,4.5,1
Phil Jagielka,EVE,DEF,1.38,5,0.54
Kiko,WAT,DEF,1.35,4.5,1
Christian Kabasele,WAT,DEF,1.2,4.5,0.74
Kyle Naughton,SWA,DEF,1.06,4.5,1
