Chicago Bears,DEF,CHI,ATL,5,4300,1.5,8.6,3.55
Benny Cunningham,RB,CHI,ATL,3.5,4700,0,13.5,6.75
Dion Sims,TE,CHI,ATL,1.4,4500,0,10.8,5.4
Markus Wheaton,WR,CHI,ATL,1.8,4800,0,11.8,5.9
Josh Bellamy,WR,CHI,ATL,1.3,4700,0,11.4,5.7
A.J. Green,WR,CIN,BAL,14,8400,5,22.7,8.85
Tyler Eifert,TE,CIN,BAL,8.8,6100,1.3,15.8,7.25
Joe Mixon,RB,CIN,BAL,10.4,6400,3.1,19.2,8.05
Andy Dalton,QB,CIN,BAL,16.6,7400,6.5,28.6,11.05
Brandon LaFell,WR,CIN,BAL,7.1,5100,0.3,16.6,8.15
Tyler Boyd,WR,CIN,BAL,5.9,4700,0.3,15.5,7.6
Cincinnati Bengals,DEF,CIN,BAL,6.9,4600,2,11.8,4.9
Randy Bullock,K,CIN,BAL,7.2,4600,2.2,12.3,5.05
Jeremy Hill,RB,CIN,BAL,5.2,5500,0,14.9,7.45
Giovani Bernard,RB,CIN,BAL,5,5500,0,14.7,7.35
C.J. Uzomah,TE,CIN,BAL,1,4500,0,10.5,5.25
Tyler Kroft,TE,CIN,BAL,0.4,4500,0,10.1,5.05
Isaiah Crowell,RB,CLE,PIT,11.7,6500,3.5,20.2,8.35
Kenny Britt,WR,CLE,PIT,9.6,6000,2,18.8,8.4
DeShone Kizer,QB,CLE,PIT,14.8,6000,5.2,27.5,11.15
Corey Coleman,WR,CLE,PIT,9,5700,1.3,18.3,8.5
Duke Johnson,RB,CLE,PIT,7.8,5600,1.8,17,7.6
David Njoku,TE,CLE,PIT,5.1,4500,0.2,13.3,6.55
Cleveland Browns,DEF,CLE,PIT,5.4,4000,1.6,9.2,3.8
Ricardo Louis,WR,CLE,PIT,3.2,4500,0,13.1,6.55
Randall Telfer,TE,CLE,PIT,1.3,4500,0,10.7,5.35
Sammie Coates,WR,CLE,PIT,2.5,4700,0,12.5,6.25
Seth DeValve,TE,CLE,PIT,0.8,4500,0,10.4,5.2
Ezekiel Elliott,RB,DAL,NYG,14.7,8700,5,22.5,8.75
Dez Bryant,WR,DAL,NYG,13.3,7800,3.5,22,9.25
Jason Witten,TE,DAL,NYG,8.7,5400,2.2,15.8,6.8
Dak Prescott,QB,DAL,NYG,18.5,7800,7.3,30.3,11.5
Cole Beasley,WR,DAL,NYG,8.2,5600,1,17.6,8.3
Terrance Williams,WR,DAL,NYG,7,5100,0.2,16.5,8.15
Dan Bailey,K,DAL,NYG,7.8,4900,2.6,12.7,5.05
Dallas Cowboys,DEF,DAL,NYG,6.3,4600,1.8,10.8,4.5
Darren McFadden,RB,DAL,NYG,4.2,5800,0,14.1,7.05
Geoff Swaim,TE,DAL,NYG,1,4500,0,10.5,5.25
Brice Butler,WR,DAL,NYG,2.5,4700,0,12.5,6.25
Ryan Switzer,WR,DAL,NYG,0.9,4500,0,11,5.5
Alfred Morris,RB,DAL,NYG,0.6,5200,0,11.2,5.6
Ameer Abdullah,RB,DET,ARI,10.6,6100,2.7,19.2,8.25
Theo Riddick,RB,DET,ARI,9.6,5900,1.9,18.3,8.2
Golden Tate,WR,DET,ARI,11,6900,3.5,20.2,8.35
Eric Ebron,TE,DET,ARI,7.3,5500,1.5,14.8,6.65
Matthew Stafford,QB,DET,ARI,18,7600,7.6,29.9,11.15
Marvin Jones,WR,DET,ARI,8.9,6100,1.6,18.2,8.3
Kenny Golladay,WR,DET,ARI,6.4,5100,0,15.9,7.95
Matt Prater,K,DET,ARI,7.4,4700,2.3,12.4,5.05
Detroit Lions,DEF,DET,ARI,6.4,4400,1.8,10.9,4.55
Zach Zenner,RB,DET,ARI,2.6,4800,0,12.7,6.35
T.J. Jones,WR,DET,ARI,2.2,4600,0,12.1,6.05
Darren Fells,TE,DET,ARI,0.5,4500,0,10.2,5.1
Dwayne Washington,RB,DET,ARI,0.9,4500,0,11.4,5.7
Ty Montgomery,RB,GB,SEA,11.7,6600,3.6,20.1,8.25
Jordy Nelson,WR,GB,SEA,13.3,7700,3.8,22,9.1
Aaron Rodgers,QB,GB,SEA,20.9,8300,9.5,31.9,11.2
Martellus Bennett,TE,GB,SEA,8.1,5700,1.7,15.3,6.8
Davante Adams,WR,GB,SEA,10.6,6800,2.5,19.7,8.6
Randall Cobb,WR,GB,SEA,9.4,5900,1.6,18.7,8.55
Green Bay Packers,DEF,GB,SEA,6.4,4200,1.9,11,4.55
Mason Crosby,K,GB,SEA,7.5,4800,2.6,12.7,5.05
Richard Rodgers,TE,GB,SEA,1.6,4800,0,10.9,5.45
Lance Kendricks,TE,GB,SEA,1.1,4500,0,10.6,5.3
Aaron Jones,RB,GB,SEA,2.3,4800,0,12.5,6.25
Jamaal Williams,RB,GB,SEA,2.7,5300,0,12.8,6.4
Aaron Ripkowski,RB,GB,SEA,1.2,4500,0,11.6,5.8
Jeff Janis,WR,GB,SEA,1,5200,0,11.1,5.55
Lamar Miller,RB,HOU,JAX,12.8,7300,4.2,21.1,8.45
DeAndre Hopkins,WR,HOU,JAX,11.8,7100,3.3,20.8,8.75
C.J. Fiedorowicz,TE,HOU,JAX,6.3,5200,0.4,14.1,6.85
Houston Texans,DEF,HOU,JAX,9.5,5100,2.8,16.2,6.7
Tom Savage,QB,HOU,JAX,14.4,6500,5.3,26.7,10.7
Bruce Ellington,WR,HOU,JAX,6,4500,0.2,15.6,7.7
Braxton Miller,WR,HOU,JAX,6.3,4900,0.3,15.9,7.8
Ryan Griffin,TE,HOU,JAX,2.8,4500,0,11.8,5.9
Donta Foreman,RB,HOU,JAX,4.3,5000,0,14.1,7.05
Tyler Ervin,RB,HOU,JAX,2.2,4500,0,12.4,6.2
Stephen Anderson,TE,HOU,JAX,0.8,4500,0,10.4,5.2
Jordan Todman,RB,HOU,JAX,1.1,4500,0,11.5,5.75
Frank Gore,RB,IND,@LAR,9.5,6000,2.8,18.4,7.8
Jack Doyle,TE,IND,@LAR,6.5,5100,0.8,14.2,6.7
Donte Moncrief,WR,IND,@LAR,8.6,5900,0.7,17.8,8.55
Scott Tolzien,QB,IND,@LAR,14.1,6000,5.1,26.9,10.9
T.Y. Hilton,WR,IND,@LAR,11,8000,3.6,20.2,8.3
Indianapolis Colts,DEF,IND,@LAR,6.2,4300,1.8,10.6,4.4
Robert Turbin,RB,IND,@LAR,5.1,5100,0,14.7,7.35
Darrell Daniels,TE,IND,@LAR,3,4500,0,11.9,5.95
Adam Vinatieri,K,IND,@LAR,6.5,4800,1.6,11.7,5.05
Chester Rogers,WR,IND,@LAR,2.9,4500,0,12.8,6.4
Kamar Aiken,WR,IND,@LAR,3.3,5300,0,13.2,6.6
Marlon Mack,RB,IND,@LAR,1.5,4900,0,11.8,5.9
Leonard Fournette,RB,JAX,@HOU,11.6,7100,3.7,20.2,8.25
Allen Robinson,WR,JAX,@HOU,10.5,6700,2.6,19.7,8.55
Dede Westbrook,WR,JAX,@HOU,6,4500,0.1,15.7,7.8
Jacksonville Jaguars,DEF,JAX,@HOU,6.7,4100,1.9,11.4,4.75
Marqise Lee,WR,JAX,@HOU,7,5700,0.5,16.6,8.05
Marcedes Lewis,TE,JAX,@HOU,3.9,4500,0.1,12.5,6.2
T.J. Yeldon,RB,JAX,@HOU,4.8,5000,0.2,14.5,7.15
Jason Myers,K,JAX,@HOU,6.2,4500,1.3,11.4,5.05
Blake Bortles,QB,JAX,@HOU,13.4,7200,4.1,26.3,11.1
Chris Ivory,RB,JAX,@HOU,2.6,4900,0,12.7,6.35
Ben Koyack,TE,JAX,@HOU,0.4,4500,0,10.1,5.05
Allen Hurns,WR,JAX,@HOU,1.9,5200,0,11.9,5.95
Arrelious Benn,WR,JAX,@HOU,0.7,4500,0,10.9,5.45
Travis Kelce,TE,KC,@NE,12.8,6500,4.7,18.5,6.9
Kareem Hunt,RB,KC,@NE,11.4,6400,3.4,19.9,8.25
Tyreek Hill,WR,KC,@NE,11.5,6700,3.1,21,8.95
Alex Smith,QB,KC,@NE,15.4,6900,5.8,27.7,10.95
Albert Wilson,WR,KC,@NE,6,4500,0.2,15.5,7.65
