LeVeon Bell,RB,PIT,@CHI,22.7,8700,10.7,29,9.15
Kareem Hunt,RB,KC,@LAC,19.2,8300,7.9,26.1,9.1
Jay Ajayi,RB,MIA,@NYJ,18.9,8200,7.7,26,9.15
Ty Montgomery,RB,GB,CIN,17.3,7200,6.9,24.6,8.85
LeSean McCoy,RB,BUF,DEN,17.1,8100,7,24.6,8.8
Melvin Gordon,RB,LAC,KC,16.3,7600,6.7,23.9,8.6
Dalvin Cook,RB,MIN,TB,15,6500,5.8,22.9,8.55
Christian McCaffrey,RB,CAR,NO,13.9,6800,5.3,21.9,8.3
Tarik Cohen,RB,CHI,PIT,12.5,5600,5,20.9,7.95
Zach Ertz,TE,PHI,NYG,11.8,6500,3.6,17.9,7.15
Devonta Freeman,RB,ATL,@DET,15.3,8200,5.2,22.9,8.85
A.J. Green,WR,CIN,@GB,14.9,7500,6.3,23.7,8.7
C.J. Anderson,RB,DEN,@BUF,13.4,6900,4.3,21.6,8.65
Antonio Brown,WR,PIT,@CHI,16.2,9000,6.1,24.6,9.25
Rob Gronkowski,TE,NE,HOU,12.8,8400,3.7,18.5,7.4
Travis Kelce,TE,KC,@LAC,11.6,7100,4.1,17.7,6.8
Jordan Reed,TE,WAS,OAK,11.3,6700,3.1,17.5,7.2
Chris Thompson,RB,WAS,OAK,11.6,5600,3,19.9,8.45
Tevin Coleman,RB,ATL,@DET,11.2,5500,3.1,19.7,8.3
Marshawn Lynch,RB,OAK,@WAS,12.5,6700,2.8,20.6,8.9
Mark Ingram,RB,NO,@CAR,11.3,5800,3.5,19.8,8.15
Jonathan Stewart,RB,CAR,NO,11.5,6200,3,20,8.5
Julio Jones,WR,ATL,@DET,15.7,9300,6.6,24.3,8.85
Isaiah Crowell,RB,CLE,@IND,11.9,6600,3.1,20.2,8.55
James White,RB,NE,HOU,10.7,5600,3.4,19.3,7.95
Ameer Abdullah,RB,DET,ATL,11.2,6100,3.2,19.7,8.25
Jamison Crowder,WR,WAS,OAK,11.1,5700,3,20.1,8.55
Lamar Miller,RB,HOU,@NE,11.1,6100,3.8,19.8,8
Mike Gillislee,RB,NE,HOU,11.8,6800,2.3,20.1,8.9
DeAndre Hopkins,WR,HOU,@NE,13.2,7500,4.7,22.1,8.7
Kyle Rudolph,TE,MIN,TB,8.8,5400,1.3,15.8,7.25
Matt Forte,RB,NYJ,MIA,10.2,5500,2.7,19,8.15
Darren Sproles,RB,PHI,NYG,9.9,5200,3.3,18.7,7.7
Keenan Allen,WR,LAC,KC,12.6,7200,4.2,21.6,8.7
Michael Thomas,WR,NO,@CAR,12.9,7500,4.2,21.8,8.8
DeVante Parker,WR,MIA,@NYJ,11.7,6500,3.8,20.8,8.5
Michael Crabtree,WR,OAK,@WAS,13,7700,3.9,21.8,8.95
Jack Doyle,TE,IND,CLE,8.4,5300,2,15.6,6.8
Mike Evans,WR,TB,@MIN,14.1,8600,4.8,22.8,9
Delanie Walker,TE,TEN,SEA,9.5,6500,2.5,16.3,6.9
Kelvin Benjamin,WR,CAR,NO,11.6,6600,2.4,20.4,9
Chris Carson,RB,SEA,@TEN,10.3,6000,2.9,19.1,8.1
Jared Cook,TE,OAK,@WAS,8.1,5200,1.7,15.3,6.8
Adam Thielen,WR,MIN,TB,10.6,6000,2.9,19.8,8.45
Theo Riddick,RB,DET,ATL,9.7,5600,2.3,18.4,8.05
Stefon Diggs,WR,MIN,TB,11.2,6500,3.5,20.3,8.4
Amari Cooper,WR,OAK,@WAS,12.6,7700,4.4,21.6,8.6
Joe Mixon,RB,CIN,@GB,9.1,5100,2.3,18.1,7.9
Demaryius Thomas,WR,DEN,@BUF,11.9,7100,3.6,20.9,8.65
Kirk Cousins,QB,WAS,OAK,19.3,7600,8.6,30.8,11.1
Doug Baldwin,WR,SEA,@TEN,12.1,7400,3.5,21.1,8.8
Eric Ebron,TE,DET,ATL,7.9,5200,1.7,15.2,6.75
Emmanuel Sanders,WR,DEN,@BUF,11.5,6900,3.3,20.5,8.6
Coby Fleener,TE,NO,@CAR,8.2,5700,1.6,15.4,6.9
Terrelle Pryor,WR,WAS,OAK,11.4,6900,3.3,20.5,8.6
Samaje Perine,RB,WAS,OAK,9.5,5600,2,18.3,8.15
Frank Gore,RB,IND,CLE,10.2,6300,3.1,19,7.95
Rashard Higgins,WR,CLE,@IND,9.1,5100,1.6,18.4,8.4
Evan Engram,TE,NYG,@PHI,7.6,5100,1.5,15,6.75
Golden Tate,WR,DET,ATL,11.9,7400,4.2,21,8.4
Tyreek Hill,WR,KC,@LAC,11.7,7300,3.3,21.1,8.9
Charles Clay,TE,BUF,DEN,7.5,5100,1.4,15,6.8
Davante Adams,WR,GB,CIN,11.1,6800,2.5,20.1,8.8
Jacquizz Rodgers,RB,TB,@MIN,10.4,6600,3.8,19.2,7.7
Martellus Bennett,TE,GB,CIN,7.9,5600,1.4,15.2,6.9
Alshon Jeffery,WR,PHI,NYG,11.9,7500,3.1,20.8,8.85
Tyler Eifert,TE,CIN,@GB,7.6,5500,1.2,15,6.9
Hunter Henry,TE,LAC,KC,7.6,5500,1.2,15,6.9
Matthew Stafford,QB,DET,ATL,19.3,7900,8.5,30.6,11.05
Martavis Bryant,WR,PIT,@CHI,10.5,6500,1.7,19.5,8.9
Austin Hooper,TE,ATL,@DET,7.4,5400,0.8,14.9,7.05
Devin Funchess,WR,CAR,NO,8.3,4800,0.9,17.7,8.4
New England Patriots,DEF,NE,HOU,10.2,4900,3,17.5,7.25
DeMarco Murray,RB,TEN,SEA,9.9,6500,2.1,18.6,8.25
Brandin Cooks,WR,NE,HOU,11.5,7500,3,20.6,8.8
Shane Vereen,RB,NYG,@PHI,7.9,4800,1.7,17.1,7.7
Eric Decker,WR,TEN,SEA,9.5,5900,1.6,18.7,8.55
Jarvis Landry,WR,MIA,@NYJ,10.6,6800,3.4,19.8,8.2
Alvin Kamara,RB,NO,@CAR,8.3,5200,1.7,17.3,7.8
Jimmy Graham,TE,SEA,@TEN,8.1,6400,1.6,15.3,6.85
Cam Newton,QB,CAR,NO,19.4,8100,8.1,31,11.45
Jacoby Brissett,QB,IND,CLE,15.9,6500,5.4,28.2,11.4
Duke Johnson,RB,CLE,@IND,8.7,5700,2.2,17.7,7.75
Mohamed Sanu,WR,ATL,@DET,8.7,5400,1.7,18.1,8.2
Ed Dickson,TE,CAR,NO,6.2,4500,0.3,14,6.85
Zach Miller,TE,CHI,PIT,6.5,4800,1,14.2,6.6
